region,Population,HighestInfectionCount,PercentPopulationInfected
Faeroe Islands,49053,34658,70.65419037
Denmark,5813302,3023820,52.01553265
Andorra,77354,39713,51.33929726
Gibraltar,33691,16542,49.09916595
Iceland,368792,176179,47.77191479
Slovenia,2078723,946340,45.52506515
Netherlands,17173094,7720425,44.95651745
San Marino,34010,15079,44.33695972
Cyprus,896005,392019,43.75187638
Slovakia,5449270,2379094,43.65894881
Latvia,1866934,780831,41.82424231
Georgia,3979773,1644112,41.31170295
Estonia,1325188,546885,41.26848417
Israel,9291000,3814628,41.05723819
Liechtenstein,38254,15649,40.90814033
Seychelles,98910,39991,40.43170559
Austria,9043072,3585486,39.64898212
Switzerland,8715494,3379845,38.77972953
Lithuania,2689862,1002365,37.26455112
Montenegro,628051,232462,37.01323619
France,67422000,24548990,36.41094895
Czechia,10724553,3761164,35.07058989
Portugal,10167923,3458727,34.01606208
Belgium,11632334,3757776,32.30457447
Maldives,543620,174658,32.12869284
Luxembourg,634814,203861,32.11350096
Isle of Man,85410,27022,31.6379815
Aruba,107195,33843,31.57143523
Bahrain,1748295,547951,31.3420218
Saint Pierre and Miquelon,5771,1781,30.86120256
Cayman Islands,66498,20336,30.58137087
Bonaire Sint Eustatius and Saba,26445,8039,30.3989412
United Kingdom,68207112,20578046,30.16994181
Brunei,441532,128306,29.05927543
Serbia,6871547,1962013,28.55271164
Ireland,4982904,1404929,28.19498429
Greece,10370747,2861993,27.59678739
Mongolia,3329282,917406,27.55567116
European Union,447189920,121209152,27.10462526
Croatia,4081657,1087635,26.64689855
Monaco,39520,10369,26.23734818
Norway,5465629,1390035,25.432297
French Polynesia,282534,71673,25.36792032
Uruguay,3485152,879618,25.23901397
Sweden,10160159,2475687,24.3666167
Spain,46745212,11378784,24.34213797
Curacao,164796,39853,24.1832326
United States,332915072,79844432,23.98342362
Italy,60367472,14070450,23.30799938
Europe,748963008,174179936,23.25614672
Germany,83900472,19217142,22.90468878
Palau,18174,3976,21.87740729
High income,1214930176,262393760,21.59743541
South Korea,51305184,10822836,21.09501449
Greenland,56868,11952,21.01709221
New Caledonia,288217,60177,20.87905988
Barbados,287708,58018,20.16558455
British Virgin Islands,30423,6104,20.06376754
Argentina,45605824,9019660,19.77743018
Bermuda,62092,12231,19.69818978
Singapore,5453600,1044661,19.15543861
Hungary,9634162,1834268,19.03920652
Chile,19212362,3415989,17.78016154
Anguilla,15125,2633,17.40826446
Panama,4381583,762394,17.39996709
Turkey,85042736,14743437,17.33650361
Jordan,10269022,1689314,16.45058312
Bulgaria,6896655,1129641,16.37954922
Dominica,72172,11777,16.31796264
Costa Rica,5139053,832966,16.20855049
Lebanon,6769151,1089419,16.09387942
Australia,25788216,4113691,15.95182466
North America,596581312,94241056,15.79685017
Poland,37797000,5915888,15.65173956
Mauritius,1273428,192558,15.12123182
Turks and Caicos Islands,39226,5888,15.01045225
Finland,5548361,821536,14.80682313
Romania,19127772,2827936,14.78445059
Malta,516100,75477,14.62449138
North Macedonia,2082661,304047,14.59896738
Kuwait,4328553,627753,14.5026063
Hong Kong,7552800,1088150,14.4072397
Armenia,2968128,422382,14.23058574
Belize,404915,57203,14.12716249
Brazil,213993440,29738362,13.89685684
Suriname,591798,79100,13.3660472
South America,434260128,55742732,12.83625376
