Location,Population,date,HighestInfectionCount,PercentPopulationInfected
United Kingdom,68207112,3/23/2022,20578046,30.16994181
United Kingdom,68207112,3/22/2022,20475376,30.01941498
United Kingdom,68207112,3/21/2022,20380278,29.87998964
United Kingdom,68207112,3/18/2022,20154286,29.54865762
United Kingdom,68207112,3/19/2022,20154286,29.54865762
United Kingdom,68207112,3/20/2022,20154286,29.54865762
United Kingdom,68207112,3/17/2022,20061836,29.41311457
United Kingdom,68207112,3/16/2022,19971022,29.2799701
United Kingdom,68207112,3/15/2022,19877446,29.1427762
United Kingdom,68207112,3/14/2022,19757388,28.96675643
United Kingdom,68207112,3/11/2022,19586576,28.71632507
United Kingdom,68207112,3/12/2022,19586576,28.71632507
United Kingdom,68207112,3/13/2022,19586576,28.71632507
United Kingdom,68207112,3/10/2022,19513716,28.60950336
United Kingdom,68207112,3/9/2022,19429316,28.4857626
United Kingdom,68207112,3/8/2022,19360938,28.38551206
United Kingdom,68207112,3/7/2022,19298532,28.2940172
United Kingdom,68207112,3/4/2022,19172096,28.1086465
United Kingdom,68207112,3/5/2022,19172096,28.1086465
United Kingdom,68207112,3/6/2022,19172096,28.1086465
United Kingdom,68207112,3/3/2022,19127288,28.04295247
United Kingdom,68207112,3/2/2022,19081606,27.97597705
United Kingdom,68207112,3/1/2022,19036570,27.90994875
United Kingdom,68207112,2/28/2022,18937084,27.76409006
United Kingdom,68207112,2/25/2022,18854972,27.64370378
United Kingdom,68207112,2/26/2022,18854972,27.64370378
United Kingdom,68207112,2/27/2022,18854972,27.64370378
United Kingdom,68207112,2/24/2022,18823088,27.59695792
United Kingdom,68207112,2/23/2022,18784420,27.54026589
United Kingdom,68207112,2/22/2022,18744580,27.48185556
United Kingdom,68207112,2/21/2022,18703228,27.42122845
United Kingdom,68207112,2/20/2022,18664704,27.36474754
United Kingdom,68207112,2/19/2022,18633694,27.31928307
United Kingdom,68207112,2/18/2022,18594476,27.26178467
United Kingdom,68207112,2/17/2022,18546996,27.19217316
United Kingdom,68207112,2/16/2022,18495270,27.11633649
United Kingdom,68207112,2/15/2022,18441180,27.03703391
United Kingdom,68207112,2/14/2022,18394996,26.9693225
United Kingdom,68207112,2/13/2022,18353596,26.90862501
United Kingdom,68207112,2/12/2022,18312412,26.84824421
United Kingdom,68207112,2/11/2022,18266540,26.78099023
